,Title,Sentence,Useful
36,"Exit strategies: optimising feasible surveillance for detection, elimination and ongoing prevention of COVID-19 community transmission","• The sensitivity and efficiency of testing these groups for a range of testing capacities and varying prevalence of non-COVID-19 fever and cough patients in primary care, and for varying prevalence of COVID-19 in sentinel populations.",1
37,"Exit strategies: optimising feasible surveillance for detection, elimination and ongoing prevention of COVID-19 community transmission","• The feasibility of surveillance both qualitatively and quantitatively, including the system requirements for increasing testing and follow-up in these groups for a population prevalence of COVID-19 of 1/20,000.",1
43,"Exit strategies: optimising feasible surveillance for detection, elimination and ongoing prevention of COVID-19 community transmission","Estimated cases in the community were calculated using a stochastic SEIR model, assuming a four-day incubation period before symptom onset, with transmission occurring during the final day of this period.",1
68,"Exit strategies: optimising feasible surveillance for detection, elimination and ongoing prevention of COVID-19 community transmission","Even at much higher or lower prevalence of COVID-19, the overall conclusions remain the same.",1
108,"Exit strategies: optimising feasible surveillance for detection, elimination and ongoing prevention of COVID-19 community transmission","19.20071217 doi: medRxiv preprint even if it proves sensitive, as it cannot identify specific infected individuals of chains of individuals, it must be linked to intensive human surveillance if it is to effectively support control of COVID-19 community transmission.",1
157,"Exit strategies: optimising feasible surveillance for detection, elimination and ongoing prevention of COVID-19 community transmission","As Table 1 demonstrates, this means that at the peak of the influenza season, the testing requirements will increase between three to six fold compared to the non-influenza season.",1
159,"Exit strategies: optimising feasible surveillance for detection, elimination and ongoing prevention of COVID-19 community transmission","In addition, if COVID-19 has a seasonal pattern, and this is likely to be the case considering other respiratory pathogens and similar SARS-CoV viruses,41 any residual transmission that continues into these months is likely to be amplified by seasonal effects.",1
160,"Exit strategies: optimising feasible surveillance for detection, elimination and ongoing prevention of COVID-19 community transmission","This suggests that given a strategy of strong containment and exhaustive surveillance aimed at elimination of COVID-19 community transmission, investing as much as possible in achieving this before the peak of the influenza season will optimise the value of every investment made in testing, contact tracing and containment.",1
207,Turkish Journal of Medical Sciences Understanding dynamics of pandemics,"Primarily plague, smallpox, cholera and Spanish flu are the longest-lasting, repetitive, and caused large numbers of human deaths.",1
266,Turkish Journal of Medical Sciences Understanding dynamics of pandemics,"Given their sheer number, and the speed with which human and animal transmission vectors can move, there is no longer a single dominant pathway for the geographical movement and expansion of infectious diseases.",1
273,Turkish Journal of Medical Sciences Understanding dynamics of pandemics,"The distribution and the outcome of epidemic varies according to several factors such as household crowding, humidity, temperature, season, hygiene, access to healthcare facilities, and isolation capacity, demographic characteristics of population, cigarette-smoking, host ability to transmit infection, immune status, nutritional status, prevalence of comorbidity diseases, characteristics of pathogenic, modes of transmission, transmissibility, virulence factors, etc.",1
276,Turkish Journal of Medical Sciences Understanding dynamics of pandemics,"The proportion of asymptomaticpeople which was testing positive for SARS-CoV-2, varied between 5% and 80% 4 .",1
281,Turkish Journal of Medical Sciences Understanding dynamics of pandemics,The median incubation period was 4.8 days .,1
288,Turkish Journal of Medical Sciences Understanding dynamics of pandemics,The common features of pandemics are spread to all over the world through human mobilization and severity increasing for person with chronic diseases.,1
