,Title,Sentence,Useful
89,"Fabrication of Nanostructures with Bottom-up Approach and Their Utility in Diagnostics, Therapeutics, and Others","Reproduced from Gao and Wang , with permission from AIP Publishing LLC Polymers are the most extensively used biomaterials in the medical field for applications in implantation, medical devices, medical coatings, tissue engineering, and prostheses, owing to their biocompatibility with human tissues and cells .",1
195,"Fabrication of Nanostructures with Bottom-up Approach and Their Utility in Diagnostics, Therapeutics, and Others","For detection of biomarkers in human blood serum, a hybrid ZnO nanorod poly methacrylate-co-glycidyl methacrylate polymer brush has been reported .",1
200,"Fabrication of Nanostructures with Bottom-up Approach and Their Utility in Diagnostics, Therapeutics, and Others",The limit of detection of biomarkers in human blood serum was reported to be as low as 100 fg mL −1 .,1
201,"Fabrication of Nanostructures with Bottom-up Approach and Their Utility in Diagnostics, Therapeutics, and Others","In order to perform colorimetric detection of uric acid in human serum, graphene oxide-based gold nanoparticle-embedded networks have been utilized.",1
236,"Fabrication of Nanostructures with Bottom-up Approach and Their Utility in Diagnostics, Therapeutics, and Others","Three pathogens SARS, Ebola, and anthrax have been detected Fig.",1
256,"Fabrication of Nanostructures with Bottom-up Approach and Their Utility in Diagnostics, Therapeutics, and Others",ZnO nanostructures have also been used for anticancer studies and their action against human brain tumor U87 and cervical cancer HeLa .,1
257,"Fabrication of Nanostructures with Bottom-up Approach and Their Utility in Diagnostics, Therapeutics, and Others","Under all effective concentrations, these nanostructures revealed reduced cytotoxicity against normal human HEK cells.",1
262,"Fabrication of Nanostructures with Bottom-up Approach and Their Utility in Diagnostics, Therapeutics, and Others","In order to protect the human skin from direct exposure of these rays, a ZnO-TiO 2 nanocomposite has been developed in which TiO 2 blocks the UV-B rays while ZnO nanoparticles block the UV-A rays.",1
275,"Fabrication of Nanostructures with Bottom-up Approach and Their Utility in Diagnostics, Therapeutics, and Others","Although they can be utilized for therapeutics, the materials that they are made of possess a potential danger to the human body.",1
323,Clinical Analysis by Microchip Capillary Electrophoresis Review,Diagnostic testing for point mutations in the human k-ras oncogene was performed on DNA obtained from colorectal tumors.,1
326,Clinical Analysis by Microchip Capillary Electrophoresis Review,evaluated RNA messengers involved in lipid trafficking of human intestinal cells by reverse transcription-PCR with competimer technology and microchip CE.,1
408,Clinical Analysis by Microchip Capillary Electrophoresis Review,developed a heterogeneous competitive immunoassay of human IgG that used Cy5-human IgG as tracer and Cy3-mouse IgG as internal standard.,1
409,Clinical Analysis by Microchip Capillary Electrophoresis Review,Quantification of human IgG in serum was difficult because of the high relative SD at a low human IgG concentration and the weak concentration dependence at high IgG concentrations.,1
411,Clinical Analysis by Microchip Capillary Electrophoresis Review,Conventional CE with a short capillary and a glass microchip CE device has been used to analyze fluorescein isothiocyanate-labeled anti-human IgG .,1
