,Title,Sentence,Useful
1,Evaluation of novel coronavirus disease (COVID-19) using quantitative lung CT and clinical data: prediction of short-term outcome,"The newly identified virus, designated severe acute respiratory syndrome coronavirus 2 , causes the coronavirus disease 2019 .",1
3,Evaluation of novel coronavirus disease (COVID-19) using quantitative lung CT and clinical data: prediction of short-term outcome,SARS-CoV-2 has the potential to cause a complex disease that includes severe pneumonia in some individuals.,1
8,Evaluation of novel coronavirus disease (COVID-19) using quantitative lung CT and clinical data: prediction of short-term outcome,"In times when many patients seek medical attention due to symptoms suggestive of COVID-19, early detection of the disease plays a pivotal role for the correct isolation and treatment of patients with SARS-CoV-2 .",1
9,Evaluation of novel coronavirus disease (COVID-19) using quantitative lung CT and clinical data: prediction of short-term outcome,Computed tomography has been shown to have high sensitivity for SARS-CoV-2 diagnosis in patients with respiratory symptoms .,1
10,Evaluation of novel coronavirus disease (COVID-19) using quantitative lung CT and clinical data: prediction of short-term outcome,It has been used with success for grading and follow-up of SARS-CoV-2 .,1
16,Evaluation of novel coronavirus disease (COVID-19) using quantitative lung CT and clinical data: prediction of short-term outcome,"It is conceivable that the quantification of SARS-CoV-2 lung involvement, in the presence of other ancillary features, may help to identify patients that will have a severe disease course.",1
19,Evaluation of novel coronavirus disease (COVID-19) using quantitative lung CT and clinical data: prediction of short-term outcome,"From 1 to 22 March of 2020, patients who presented with pneumonia symptoms , had a positive lung CT scan, and had confirmed SARS-CoV-2 infection on RT-PCR were consecutively enrolled.",1
54,Evaluation of novel coronavirus disease (COVID-19) using quantitative lung CT and clinical data: prediction of short-term outcome,"Our analysis aimed to test the performance of CTderived, clinical, and laboratory information in predicting the outcome of SARS-CoV-2 infection using classification models.",1
58,Evaluation of novel coronavirus disease (COVID-19) using quantitative lung CT and clinical data: prediction of short-term outcome,We performed an a priori analysis to determine the variables more likely to predict the clinical outcome linked to SARS-CoV-2 infection.,1
68,Evaluation of novel coronavirus disease (COVID-19) using quantitative lung CT and clinical data: prediction of short-term outcome,"To find an optimal predictive model of SARS-CoV-2 outcome, we explored four classification algorithms.",1
89,Evaluation of novel coronavirus disease (COVID-19) using quantitative lung CT and clinical data: prediction of short-term outcome,Median VoD caused by SARS-CoV-2 was 249.5 cm 3 .,1
119,Evaluation of novel coronavirus disease (COVID-19) using quantitative lung CT and clinical data: prediction of short-term outcome,Previous research assessed the role of CT in predicting COVID-19 outcomes.,1
170,Serial Quantitative Chest CT Assessment of COVID-19: Deep-Learning Approach,"Introduction SARS-CoV-2 is a novel coronavirus initially identified in Wuhan, China, which causes a respiratory pandemic disease named Coronavirus Disease 2019 .",1
172,Serial Quantitative Chest CT Assessment of COVID-19: Deep-Learning Approach,"Recent studies reported that the possible pathological mechanism in COVID-19 is diffuse alveolar damage and inflammatory exudation, which is similar to histologic findings seen in SARS-CoV pneumonia .",1
235,Serial Quantitative Chest CT Assessment of COVID-19: Deep-Learning Approach,"Second, there was no systematic confirmation of the pulmonary opacities as being directly caused by the pathological effects of the coronavirus.",1
244,Chest CT features and their role in COVID-19-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/),"In December 2019, a novel pathogenic human coronavirus, called 2019 novel coronavirus, was identified in Wuhan, Hubei Province, China .",1
245,Chest CT features and their role in COVID-19-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/),"It can achieve human-to-human transmission between close contacts, and can cause serious coronavirus disease , especially pneumonia .",1
266,Chest CT features and their role in COVID-19-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/),"These manifestations are also compatible with other viral pneumonias, especially Severe Acute Respiratory Syndrome coronavirus, which was first detected in China is Guangdong Province in late 2002 .",1
299,Chest CT features and their role in COVID-19-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/),"In the Chinese National Health Commission is recently released ""Program for diagnosis and treatment of novel coronavirus pneumonia ˮ, patients with obvious lesion progression greater than 50% are to be treated as severe cases.",1
302,Chest CT features and their role in COVID-19-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/),It is important to note that the wide application of CT scans may generate potential risks such as false-positives in cases of pneumonia not caused by the novel coronavirus.,1
315,Journal Pre-proof Chest CT in COVID-19 pneumonia: a review of current knowledge Chest CT in COVID-19 pneumonia: a review of current knowledge Chest CT in COVID-19 pneumonia,The method of reference is laboratory testing of nasopharyngeal aspirates for identification of SARS-CoV-2 by reverse transcriptase -polymerase chain reaction .,1
379,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,"On January 30, the Cabinet of Japan classified coronavirus disease 2019 caused by severe acute respiratory syndrome coronavirus 2 as a ""designated infectious disease"" that legally allows compulsory hospitalization.",1
380,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,"Additionally, on February 14, the Cabinet Orders allowed that the government may isolate an asymptomatic carrier with a positive SARS-CoV-2 test result by hospitalizing him/her in an entrusted medical institution designated for infectious diseases.",1
381,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,We report the case of an asymptomatic patient infected with SARS-CoV-2 with abnormal chest CT findings who remained reverse transcriptase-polymerase chain reaction positive for 24 days although she was quarantined in an isolation hospital.,1
382,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,"On February 15, 2020, a 64-year-old asymptomatic woman on board the cruise ship was tested for SARS-CoV-2 using RT-PCR test performed using a throat swab sample because her husband was diagnosed with laboratory-confirmed COVID-19 and transferred to an isolation ward at a healthcare facility.",1
383,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,"Although she remained asymptomatic without fever on February 20, she was diagnosed with SARS-CoV-2 infection and was transferred to our hospital for quarantine.",1
386,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,"Her regular medications were amlodipine, Accepted Article candesartan, hydrochlorothiazide, and atenolol.",1
399,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,"All the following criteria had to be met so that an asymptomatic patient infected with SARS-CoV-2 can be discharged from a hospital: hospital isolation longer than 12.5 days, normal temperature lasting longer than 3 days, absence of respiratory symptoms, and two consecutively negative RT-PCR test results separated by at least 12 hours.",1
402,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,"The major finding of the present case indicated that an asymptomatic patient diagnosed with SARS-CoV-2 infection remained RT-PCR positive for 24 days, and the potential communicable period was 24 days although she was quarantined in an isolation hospital.",1
403,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,This finding suggests that an asymptomatic patient diagnosed with SARS-CoV-2 infection can be an asymptomatic carrier for greater than 3 weeks.,1
404,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,A previous study has shown that SARS-CoV-2 infection appears to have been transmitted during the incubation period of a patient who was diagnosed with COVID-19 .,1
405,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,"However, it is still unclear whether asymptomatic individuals are potential sources of SARS-CoV-2 infection causing the current outbreak.",1
408,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,This case possibly suggests that asymptomatic patients diagnosed with SARS-CoV-2 infection continuously transmit SARS-CoV-2 for greater than 3 weeks.,1
413,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,"The same study also revealed that the communicable period of SARS-CoV-2 infection ranged from 1 to 21 days , 3.5-13.0 days,) in the whole cases, and the communicable period was 4.0 days in patients who are asymptomatic with normal chest CT findings .",1
417,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,This result suggests that abnormal chest CT findings would prolong the potential communicable period in asymptomatic patients infected with SARS-CoV-2.,1
418,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,"Although several countries imposed a mandatory 14-day period of quarantine on individuals arriving from countries considered high-risk for SARS-CoV-2 infection, our findings suggest that prolonged period of quarantine might prevent the outbreak of COVID-19.",1
420,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,"In general, asymptomatic patients infected with SARS-CoV-2 are identified only from systematic screening, which includes the assessment of their close contacts with COVID-19 patients or COVID-19 suspected patients.",1
422,Persistence of Positive SARS-CoV-2 RT-PCR Test Result for 24 Days in a Hospitalized Asymptomatic Carrier,"The present finding shows that an asymptomatic patient infected with SARS-CoV-2 with abnormal chest CT findings remains RT-PCR positive for 24 days, and the communicable period might be greater than 3 weeks.",1
427,The simulation-CT: Radiotherapy's useful tool in the race against COVID-19 pandemic. A serendipity approach,"Since the Italian ""Patient Zero"" was identified, an enormous effort was made by the entire Radiotherapy centers, included the ""Fondazione IRCCS-Istituto Nazionale dei Tumori di Milano"" , to pursue the Care Mission during the Severe acute respiratory syndrome coronavirus 2 -COVID 19 pandemic .",1
433,The simulation-CT: Radiotherapy's useful tool in the race against COVID-19 pandemic. A serendipity approach,"showed a sensitiveness equal to 97% of the CT scan of the chest, to find out COVID-19 in their cohort of 1014 patients with a positive SARS-CoV-2 RT-PCR .",1
443,The simulation-CT: Radiotherapy's useful tool in the race against COVID-19 pandemic. A serendipity approach,Up to now have been reported cases of asymptomatic SARS-CoV-2 infections .,1
458,Detection of lung hypoperfusion in Covid-19 patients during recovery by digital imaging quantification,The pathophysiology of SARS-CoV2 is becoming clearer with a number of recent reports in the literature after the fast viral outbreak in the city of Wuhan in China and more recently in other countries worldwide .,1
459,Detection of lung hypoperfusion in Covid-19 patients during recovery by digital imaging quantification,"The major symptom of SARS-CoV2 is severe acute respiratory syndrome due to virus interaction with cells expressing angiotensin-converting enzyme 2 and TMPRSS2, such as epithelial cells, endothelial cells, alveolar macrophages, triggering important immune response with the generation of cytokines and chemokines, which attract monocytes, macrophages and T cells promoting further inflammation .",1
460,Detection of lung hypoperfusion in Covid-19 patients during recovery by digital imaging quantification,"This may lead to further accumulation of immune cells in the lungs, with overproduction of pro-inflammatory cytokines and activation of complement and coagulation systems in lung microcirculation .",1
461,Detection of lung hypoperfusion in Covid-19 patients during recovery by digital imaging quantification,"During the course of the disease, this important immune response attracts virusspecific T cells to the site of infection, where they can eliminate the infected cells.",1
464,Detection of lung hypoperfusion in Covid-19 patients during recovery by digital imaging quantification,"Despite these pathophysiological mechanisms are under continuous investigation, and the results of clinical studies presented in the literature on the effects of different therapeutical approaches on the SARS-CoV2 infection, there are only a few reports on the clinical course during the recovery phase of the disease.",1
475,Detection of lung hypoperfusion in Covid-19 patients during recovery by digital imaging quantification,"https://doi.org/10.1101/2020.05.29.20117143 doi: medRxiv preprint During the period from 15 April and 30 April, 20 patients previously treated for pneumonia SARS-CoV-2, with negative swab, have been admitted to our department to assess the outcome of SARS-CoV-2 pneumonia.",1
495,Detection of lung hypoperfusion in Covid-19 patients during recovery by digital imaging quantification,"Out of the 20 patients who underwent follow-up, 12 patients had almost complete resolution of symptoms, with complete regression of the thickening areas detected with chest CT scan at diagnosis of SARS-CoV-2 pneumonia in 4 patients, and persistence of fibrous stripes areas in the other 8 patients.",1
510,Detection of lung hypoperfusion in Covid-19 patients during recovery by digital imaging quantification,"https://doi.org/10.1101/2020.05.29.20117143 doi: medRxiv preprint As mentioned previously, the lung tissue inflammation induced in COVID-19 patients by accumulation of immune cells, overproduction of pro-inflammatory cytokines and activation of complement and coagulation system in the microcirculation is the reason for the observed focal or diffuse damage to the lungs, as observed during the course of the disease.",1
