,Title,Sentence,Useful
1,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"Lately, there has been much debate on whether avian H5N1 influenza virus can evolve into human H5N1 influenza viruses and result in major human pandemics.",1
7,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"Although a switch in the receptor specificity of avian influenza from Neu5Aca2-3Gal -linked SA to Neu5Aca2-6Gal -linked SA is considered a sign of evolution from avian to human host specificity , antiviral neutralizing antibodies were shown recently to be an important factor responsible for avian influenza virus variation during interspecies transmission.",1
8,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,Evidence from the examination of infected human and avian serum samples also provides clues to the propensity of a virus to escape neutralization .,1
11,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"Two H5N1 strains, A/Bar-headed Goose/Qinghai/1/05 and A/Xinjiang/1/2006 , isolated from a bird and a human, respectively, with four amino acid difference in their HAs provided a good system for us to explore the mechanism of H5N1 to cross the species barrier.",1
62,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"The QH and XJ H5N1 strains, isolated from a bird and a human, respectively, were utilized to investigate selectionand adaptation-dependent H5N1 influenza virus evolution.",1
64,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"Later that year, one infected human case caused by HPAI H5N1 ) was reported in Xinjiang province, northwestern China.",1
65,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"Since these two places are close in geography, the HA genes isolated from a wild bird and a human were strikingly similar, with only four amino acid differences.",1
149,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"The receptor specificity of H5N1 strains changed in the evolution process from avian to human, and this is attributed to antigenic drift.",1
152,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"Recently, several studies have suggested that different SAs on human and avian cells may not be the only major factor limiting the transmission of avian influenza viruses to humans .",1
153,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,The different glycan topology of the RBD between human and avian influenza viruses may also play a critical role in determining the species specificity .,1
154,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"In order to determine the role of glycans in receptor specificity, HeLa and DF-1 cells, which are from a human and a bird, respectively, were used to compare the efficiency of infection of these HA pseudotype viruses .",1
161,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"To confirm our experimental results, 103 human H5N1 HA genes and 70 avian H5N1 HA genes from 2006-2008 were analyzed for the frequency of amino acid changes at these positions .",1
162,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"For aa 90, the frequency of Thr was highest in human H5N1 strains, while Ala was highest in avian H5N1; for aa 160, Thr was highest in human H5N1, while Ala was highest in avian H5N1.",1
163,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,The mutations at aa 90 and 160 from QH to XJ were consistent with viral evolution in the direction of avian to human.,1
164,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"However, 217Leu and 316Val were not found in human H5N1, while only two strains of avian H5N1 with 217Ile and 100 strains of avian H5N1 HA genes with 316Ile appeared in more than 2000 H5N1 HA genes.",1
169,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"A potential role of human nAbs in driving SARS-CoV evolution had been reported , and receptor adaptation as a driving force has also been suggested .",1
171,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"First, two mutations that are important for avian-to-human interspecies transmission were identified.",1
190,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,"It has been shown that antibodies with high binding affinity push viral variation to escape host immune clearance, and these mutants stimulate the host to produce nAbs with strong neutralization activity to keep the balance between virus and host.",1
197,Identification of amino acids in highly pathogenic avian influenza H5N1 virus hemagglutinin that determine avian influenza species specificity,It was a strain similar to QH H5N1 that induced human infection in Xinjiang province.,1
207,Clinical characteristics from co-infection with avian influenza A H7N9 and Mycoplasma pneumoniae: a case report,"Since the case of human infection with avian influenza A H7N9 was first reported in 2013 in China , many more cases of this disease have emerged in this country .",1
208,Clinical characteristics from co-infection with avian influenza A H7N9 and Mycoplasma pneumoniae: a case report,"Human infection with avian influenza A H7N9 is a kind of acute respiratory disease which is caused by avian influenza A H7N9 virus, with more than 90% of the infected patients presenting with rapidly progressive pneumonia and 70% of them presenting with acute respiratory distress syndrome .",1
269,Clinical characteristics from co-infection with avian influenza A H7N9 and Mycoplasma pneumoniae: a case report,"Until now, human infection with avian influenza A H7N9 has been merely confirmed to be associated with exposure to poultry .",1
272,Clinical characteristics from co-infection with avian influenza A H7N9 and Mycoplasma pneumoniae: a case report,This may be associated with his relatively perfect immune system and with no obvious underlying diseases.,1
277,Clinical characteristics from co-infection with avian influenza A H7N9 and Mycoplasma pneumoniae: a case report,"Early clinical observations indicated a relatively high prevalence of MP respiratory infection in younger children, especially among school-aged children from 5 to 15 years of age .",1
282,Clinical characteristics from co-infection with avian influenza A H7N9 and Mycoplasma pneumoniae: a case report,"Since the incubation period of MP infection is often as long as 1 to 3 weeks , we speculate that MP may have already existed in our patient is respiratory system at the time when she was infected with avian influenza A H7N9.",1
304,Influenza Virus: The Biology of a Changing Virus,"Standard nomenclature for human influenza viruses includes type, geographic location of isolation, isolate number, and year of isolation.",1
313,Influenza Virus: The Biology of a Changing Virus,"Transmission among wild and domestic fowl and mammalian species is an important characteristic of influenza A, enabling viral reassortment and emergence of novel subtypes in susceptible human populations.",1
315,Influenza Virus: The Biology of a Changing Virus,"Influenza B virus demonstrates seasonality and is responsible for human disease, although the clinical manifestations are generally less severe compared with influenza A virus-associated illness.",1
318,Influenza Virus: The Biology of a Changing Virus,"Re-emergence of the Victoria lineage after a decade of absence was associated with an outbreak during the 2001-2002 influenza season, affecting healthy but immunologically naive children .",1
334,Influenza Virus: The Biology of a Changing Virus,"a2,6 linkage is distributed in the human respiratory tract and is associated with binding to human influenza virus HA.",1
341,Influenza Virus: The Biology of a Changing Virus,"Specifically, changes at amino acid position 225 impart the ability of A/New York/1/18 to bind both avian and human host influenza virus receptors .",1
342,Influenza Virus: The Biology of a Changing Virus,"Strains of the 2009 pandemic H1N1 influenza viruses retain amino acids at positions 190 and 225 of the HA consistent with human sialic acid receptorbinding specificity, although conflicting data exist regarding binding specificity for these viruses.",1
343,Influenza Virus: The Biology of a Changing Virus,"One approach utilizing carbohydrate microarrays suggests that dual sialic acid receptor binding occurs ; data obtained using a different approach, namely biotinylated a2,3and a2,6-sialylated glycans, suggest currently circulating pandemic viruses preferentially bind human sialic acid receptors with a2-6 linkage .",1
391,Influenza Virus: The Biology of a Changing Virus,Drift occurs on an annual basis and has been attributed to low fidelity of the RNA polymerase and subsequent selection from immune pressure exerted by the host .,1
402,Influenza Virus: The Biology of a Changing Virus,"The pandemic influenza A 2009 virus has been described as a ""triple reassortant"" of swine, human, and avian influenza viruses; the H1 gene from this virus has been circulating among swine for decades, with limited drift compared with genes of H1 viruses that have been circulating in humans, and is thus antigenically different from seasonal human H1N1 viruses.",1
403,Influenza Virus: The Biology of a Changing Virus,"The pandemic influenza A 2009 virus is composed of six segments from the triple reassortant, including a human PB1 segment, classical swine-origin HA, NP, and NS, and avian-origin PB2 and PA segments that have been circulating in swine since approximately 1998.",1
406,Influenza Virus: The Biology of a Changing Virus,"The presence of several cocirculating clades in the human population has been described, accounting for reassortment.",1
407,Influenza Virus: The Biology of a Changing Virus,"This can result in limited vaccine effectiveness, as seen with A/Fujian/411/2002-like virus during the 2003-2004 season .",1
409,Influenza Virus: The Biology of a Changing Virus,Ongoing changes of the H3 hemagglutinin in the human population result from selective pressure exerted by the host immune system.,1
419,Influenza Virus: The Biology of a Changing Virus,"In human tracheobronchial epithelial cells, oligosaccharides with SA with a2,6Gal linkage predominate on nonciliated epithelial cells although these oligosaccharides have been described on ciliated and goblet cells in the human airway .",1
421,Influenza Virus: The Biology of a Changing Virus,"Host restriction is not absolute, and human infections with avian influenza viruses have been extensively described .",1
423,Influenza Virus: The Biology of a Changing Virus,"H5N1 infection of ciliated cells in HTBE cell culture with limited cell-to-cell spread and of human nasopharyngeal, adenoid, and tonsillar ex vivo cell cultures has been shown .",1
424,Influenza Virus: The Biology of a Changing Virus,"Binding of H5N1 viruses to saccharides terminating in a2,6Gal SA linkage has been achieved by mutating HA amino acid residues at positions 182 and 192, suggesting potential for adaptation to the human host .",1
430,Influenza Virus: The Biology of a Changing Virus,Some species demonstrate the ability to support replication of both human and avian influenza viruses.,1
432,Influenza Virus: The Biology of a Changing Virus,"In swine, oligosaccharides with both types of linkages may be found and suggest this species serves as a mixing vessel where human, avian, and swine influenza viruses can reassort .",1
440,Influenza Virus: The Biology of a Changing Virus,"More recently, pediatric deaths have been attributed to copathogenesis between influenza virus and Staphylococcus aureus, accounting for 34% of pediatric deaths reported to the CDC during the 2006-2007 influenza season .",1
445,Influenza Virus: The Biology of a Changing Virus,Few human histopathological studies of uncomplicated influenza exist.,1
449,Influenza Virus: The Biology of a Changing Virus,Fulminant DAD with acute alveolar hemorrhage and necrosis followed by paucicellular fibrosis and hyaline membrane formation is observed in H5N1infected human lungs .,1
452,Influenza Virus: The Biology of a Changing Virus,Immune dysregulation has been implicated in the pathogenesis of ARDS and reactive hemophagocytosis.,1
464,Influenza Virus: The Biology of a Changing Virus,"In addition, reassortants containing polymerase complex genes from A/chicken/Vietnam/C58/ 04 , a nonlethal virus, in the background of A/Vietnam/1203/04 influenza virus isolated from a fatal human case were attenuated in an animal model .",1
471,Influenza Virus: The Biology of a Changing Virus,PB1-F2 is the gene product arising from a second reading frame of the PB1 gene and has been implicated in immune cell apoptosis through the VDAC1 and ANT3 mitochondrial pathways .,1
473,Influenza Virus: The Biology of a Changing Virus,Enhanced pathogenicity was observed in mice infected with recombinant influenza virus containing the PB1-F2 gene from a highly pathogenic H5N1 virus isolated from a fatal human case in Hong Kong in 1997 .,1
475,Influenza Virus: The Biology of a Changing Virus,"Evasion of the host immune response is a key virulence determinant, permitting viruses to establish sustainable infection.",1
476,Influenza Virus: The Biology of a Changing Virus,"The innate immune system is the first line of host defense, and the influenza virus possesses the ability to interfere with this response.",1
483,Influenza Virus: The Biology of a Changing Virus,These and the motif found in the 1918 influenza virus NS1 had stronger binding affinities to PDZ domains of human cellular proteins compared with low pathogenicity influenza viruses .,1
495,Influenza Virus: The Biology of a Changing Virus,Year-round human influenza virus activity in equatorial regions may be a reservoir for annual outbreaks in the northern and southern hemispheres.,1
502,Influenza Virus: The Biology of a Changing Virus,"Guinea pigs are highly susceptible to infection with an unadapted human H3N3 influenza virus, with a 50% infectious dose of 5 PFU, and this virus grows to high titers in the upper respiratory tract and to moderate titers in the lungs.",1
509,Influenza Virus: The Biology of a Changing Virus,6 Close range transmission of human influenza A among guinea pigs.,1
524,Influenza is now a preventable disease,There have been a total of 192 human hospitalised cases and 105 deaths in Southeast Asia and Turkey.,1
528,Influenza is now a preventable disease,These approaches reduce human and infected bird contact.,1
529,Influenza is now a preventable disease,"Targeted use of oseltamivir, or another NI, in a post-exposure or straightforward prophylactic manner in human contacts, once the virus shows clear signs of human-to-human spread, could prevent a pandemic emerging from its source .",1
530,Influenza is now a preventable disease,"The latter analysis has shown that in a modelled pandemic epicentre in Thailand, the geographical application of 3 million doses of oseltamivir, or another NI, could prevent spread, but only if started within 10-14 days of the outbreak when the number of human cases would be ca.",1
551,Influenza is now a preventable disease,Clinical trials have shown a protective efficacy of ca.,1
566,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"The antigenic shifts that occurred in 1957 and 1968 were a result of avian-human reassortment: in 1957, three of the eight avian gene segments, and in 1968, two avian gene segments were reassorted into existing, human-adapted viruses.",1
567,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"This reassortment event is believed by some to occur in animals such as pigs, which can serve as a mixing vessel, as these animals are susceptible to both avian and human influenza virus 3 .",1
568,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"The genetic origin of the 1918 pandemic H1N1 virus, which killed about 50 million people worldwide 4 is not known, and there is an ongoing debate as to whether or not the virus 'jumped' directly to the human population or adapted through reassortment 1, .",1
571,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"An unprecedented level of global concern surrounds the circulating highly pathogenic H5N1 avian influenza A virus, with fears that the next human influenza pandemic could arise from these strains.",1
572,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"So far, the spread of H5N1 avian influenza virus to the human population has been limited; as of 20 June 2006 there have been around 228 welldocumented human cases, but these cases have been associated with a high mortality rate of 130 deaths 8 , although the rate might be inflated by the lack of reporting of asymptomatic cases.",1
574,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"Although all three coat proteins are targets for the host immune system, HA is by far the most abundant antigen on the viral surface and, therefore, harbours the primary epitopes for neutralizing antibodies.",1
578,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"Humanadapted influenza viruses have HAs with a binding preference for cell receptors that contain α2-6-linked sialic-acid moieties , which are found predominately on epithelial cells of the human upper respiratory tract, whereas avian viruses prefer receptors with α2-3-linked sialic acid moieties , which are found on epithelial cells in the intestines and respiratory tract of birds .",1
581,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"These proteins are rich in α2-3-linked sialosides , and function to trap avian influenza viruses and prevent their attachment to epithelial cells 12 Recent studies have revealed that some human epithelial cells in the lower respiratory tract contain α2-3-linked sialic acids and can be directly infected by avian influenza viruses 10, 11, 13 .",1
583,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"The restricted replication of H5N1 avian influenza viruses in the lower respiratory tract in humans, where the virus cannot be readily spread by sneezing and coughing 11 , is believed to account in part for the inefficient human-to-human transmission of H5N1 viruses so far.",1
584,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,Several other species have been implicated in the origin of new human influenza viruses.,1
585,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"The respiratory epithelial cells of pigs have receptors that express both α2-3and α2-6-linked sialic acids and can be infected by human and avian viruses, which indicates that domesticated pigs could be a amelting pot' for the emergence of new reassortant viruses 9 .",1
586,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"There is evidence that some terrestrial avian species, such as quail, also harbour both types of sialic-acid receptor in the trachea and intestine and, therefore, could also support the creation and spread of reassortments among avian and human influenza viruses 14, 15 .",1
589,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"However, with the constantly increasing host range for H5N1 viruses, many believe that intermediate hosts might ultimately provide the vehicle for H5N1 influenza viruses to adapt to the human population 19 .",1
590,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"Furthermore, as described above, in the correct conditions, the H5N1 virus can infect humans directly 8 , and it could subsequently mutate to a strain that can effect human-to-human transmission.",1
591,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"In view of the rapid geographic spread of the H5N1 avian influenza virus in the bird population and the increasing numbers of confirmed human cases, new technologies are urgently required for the surveillance of current influenza outbreaks to gauge the potential for adaptation to the human population, a crucial step in the emergence of a pandemic strain.",1
593,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,Methods to assess HA receptor specificity One important aspect of surveillance is to determine whether a particular avian influenza virus strain is adapting to human receptors.,1
608,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"In the United States, biosafety level 2 facilities are recommended for working with contemporary, circulating human influenza strains, low pathogenicity avian influenza strains, and equine and swine influenza viruses 35 , whereas increased biosafety level 3 practices are recommended for non-contemporary and highly pathogenic avian influenza viruses.",1
613,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"Arrays have already been used for , arose from genetic reassortment, in which gene segments from an avian virus were mixed with genetic material from a co-infecting human virus, probably through an intermediate host, such as a pig .",1
614,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"The haemagglutinin of human influenza A viruses has a binding preference for cell receptors that contain α2-6-linked sialic-acid moieties, whereas avian viruses bind preferentially to α2-3-linked sialic acids moieties.",1
615,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"The respiratory epithelial cells of pigs have receptors that express both α2-3and α2-6-linked sialic-acid moieties, and can be infected by both human and avian viruses.",1
616,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"The resulting viral progeny will either be intact avian or human virus, which can only infect their respective hosts or, if reassortment yields functional virus ), a new pandemic strain might emerge with the ability to retain efficient human-to-human transfer, but be sufficiently different to reduce the ability of the host to mount an effective immune response.",1
618,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"37, 40, 47 , human glycan-binding proteins involved in both the innate and adaptive immune system 40, , virus glycanbinding proteins 40, 58 and even the binding of whole cells 59 .",1
649,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"So far, several viral HAs from human and avian H1, H3 and H5 serotypes have been produced and analysed on the array, including variants from the 1918 pandemic influenza virus, and from the highly pathogenic H5 avian influenza strain Viet04 63, 65 .",1
651,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"For example, a single amino-acid difference between the two variants of the 1918 pandemic influenza virus was sufficient to switch the HA from a classic human α2-6linked sialoside-binding pattern , as seen with the A/South Carolina/1/1918 HA, to mixed specificity with a significant reduction in binding to α2-6linked sialosides and an increased affinity for α2-3-linked sialosides, particularly for glycans with an additional negative charge, such as a sulphate or sialic acid for the A/New York/1/1918 strain HA 65 .",1
653,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"This would enable N-acetylglucosamine to adopt an orientation within the HA receptor-binding site, that would allow Lys 222 , which is maintained in nearly all HAs from avian and human H1, H2 and H5 serotypes, to interact preferentially with the 6-sulphated moieties.",1
654,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"Although the biological significance of binding to sialylated and sulphated glycans is not clear at present, human mucins have been shown to contain 6-sulphated glycans, demonstrating that the necessary enzymes are present in the human epithelium and, therefore, that sialylated sulphated structures might be of importance in virus-host interactions 33, 66 .",1
655,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"Whereas binding of both the SC and the H3 human viruses are highly restricted to α2-6-linked sialosides , the array data clearly showed that not all human HAs have identical ligand preferences.",1
656,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"For example, the human H1 HA has a strong preference for α2-6 human receptor analogues, but also binds weakly to a range of α2-3-linked sialosides 65 .",1
657,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"It is of interest that this relatively recent H1 strain also has the Asp 190 Gly 225 combination, similar to the 1918 NY strain , yet results from the glycan microarray show that it is better adapted to human receptors with a higher preference for α2-6 sialosides, presumably owing to other as-yet-unidentified residues.",1
660,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"Ligands 25-29 on the array are all fucosylated glycans and it is clear that the human H3 HA does not bind to such ligands , whereas the H5 HA does bind them, albeit weakly .",1
662,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"Therefore, it is clear that, although human and avian virus HAs have a primary specificity for either α2-6or α2-3-linked sialosides, each virus might use a different range of glycan receptors for cell entry, and the ability of a virus to infect a host cell might depend on features in the glycan structure, other than simply the type of sialic-acid linkage.",1
670,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"For example, different mutations known to switch the receptor specificity of pandemic H1, H2 and H3 viruses from an avian to a human preference were introduced into the H5N1 viral isolate, Viet04, one of the most pathogenic viruses studied so far 69, 70 .",1
672,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"Although no clear switch in receptor specificity was observed for the H5 HA, the mutations that switched the specificity of H3 viruses from avian to human not only reduced overall avian specificity for the H5 HA, but also increased specificity/avidity towards biantennary sialosides 63 , which might function as receptors on human lung epithelial cells.",1
673,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,These combined effects could allow an H5N1 virus to escape entrapment by mucins and increase binding to susceptible lung epithelial cells and so might provide a possible route by which H5N1 viruses could become established in the human population.,1
681,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"Most recently, staining of human airway epithelium by plant lectins documented for the first time that human upper airway cells have predominantly α2-6-linked glycans, whereas the lower airway surprisingly has increasing numbers of cells that express α2-3-linked glycans 71 .",1
682,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"As avian viruses have now been shown to infect human epithelial cells that have α2-3-linked glycans 10, 11, 13 , this observation has been proposed to account for the propensity of the H5N1 virus to localize to the lower lung during human infection and, as mentioned previously, the subsequent lack of human-to-human transmission by virus shedding 11, 13 .",1
684,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"The biological relevance of this new binding data is not yet fully understood, in part owing to a lack of knowledge about the range of glycan structures on the surface of human and avian epithelial cells and the protective mucin secretions 66 .",1
687,I N N OVAT I O N Glycan microarray technologies: tools to survey host specificity of influenza viruses,"Currently, viruses are collected, shipped to the WHO or other secure facilities, such as the CDC, where the viruses are serotyped and undergo partial sequence analysis, before informed guesses are made as to whether any identified mutations signify antigenic drift that is relevant for incorporation into the next influenza vaccine or, in the case of avian viruses, signal significant adaptation to the human population.",1
