,Title,Sentence,Useful
185,Exploring Automatic Diagnosis of COVID-19 from Crowdsourced Respiratory Sound Data,Audio signals generated by the human body have often been used by clinicians and clinical researchers as diagnostic or progression indicators for diseases and disease onset.,1
188,Exploring Automatic Diagnosis of COVID-19 from Crowdsourced Respiratory Sound Data,"Researchers have also been piloting the use of human voice to assist early diagnosis of a variety of illnesses: ParkinsonâĂŹs disease correlates with softness of speech , voice frequency with coronary artery disease or vocal tone, pitch, rhythm, rate, and volume correlate with invisible injuries such as post-traumatic stress disorder , traumatic brain injury and psychiatric conditions .",1
189,Exploring Automatic Diagnosis of COVID-19 from Crowdsourced Respiratory Sound Data,"The use of human-generated audio as a biomarker for various illnesses offers enormous potential for early diagnosis, as well as for affordable solutions which could be rolled out to the masses if embedded in commodity devices.",1
194,Exploring Automatic Diagnosis of COVID-19 from Crowdsourced Respiratory Sound Data,"Our work contains an exploration of using human respiratory sounds as diagnostic markers for COVID-19 in crowdsourced, uncontrolled data.",1
559,Studying health-related internet and mobile device use using web logs and smartphone records,"We chose websites that listed diseases and organs and other parts of the human body, technical medical terms, medical disciplines, symptoms of diseases and medical encyclopedia.",1
725,Applying an Intelligent Personal Agent on a Smart Home Using a Novel Dialogue Generator,"train two models, a generative model to produce response sequences, and a discriminator to distinguish between the human-generated dialogues and the machine-generated ones.",1
726,Applying an Intelligent Personal Agent on a Smart Home Using a Novel Dialogue Generator,The generative model receives the output of the discriminator as a reward in order to push the complete system to generate dialogues that mostly resemble human dialogues.,1
1181,A Systematic Review on Fake News Themes Reported in Literature,The role of Facebook in the spreading of fake news possibly has the biggest impact from all the social media platforms .,1
1347,A Systematic Review on Fake News Themes Reported in Literature,"These AI powered bots are designed to mimic human behaviour and characteristics, and are used to corrupt online conversations with unwanted and misleading advertisements .",1
1499,Profiling of a large-scale municipal wireless network,"recently published a survey on machine-learning methods for mining and understanding large-scale human mobility data, which may be used as a basis for event detection.",1
1905,Profiling of a large-scale municipal wireless network,"Last by not least, given the serious moment we are living in 2020 with the coronavirus pandemic and the need for social isolation, counting the number of Wi-Fi users in digital squares may significantly help authorities to identify anomalous and uncalled for people aggregates.",1
1913,Racism is a Virus: Anti-Asian Hate and Counterhate in Social Media during the COVID-19 Crisis,"The global outbreak of coronavirus disease 2019 or COVID-19 has caused widespread disruption in the personal, social, and economic lives of people.",1
1966,Racism is a Virus: Anti-Asian Hate and Counterhate in Social Media during the COVID-19 Crisis,Its not a f*****g flu it is a Coronavirus which is a type of virus.,1
2532,Collaborative Recommendation of Temporally-Discounted Tag-Based Expertise for Community Question Answering,"In particular, the lower effectiveness of Votes and InDegree is due to the fact that both focus only on the importance of users, without accounting for their specific discounted expertise.",1
2580,Assessing Disease Exposure Risk with Location Data: A Proposal for Cryptographic Preservation of Privacy,3 Israel employs cellphone tracking for coronavirus patients .,1
2605,Assessing Disease Exposure Risk with Location Data: A Proposal for Cryptographic Preservation of Privacy,"We note that applications that detect users' exposure risk by relying on users to come into Bluetooth proximity may not be sufficient, given that in addition to human-to-human transmission, coro-naviruses can transmit through commonly touched surfaces or environments .",1
2718,Assessing Disease Exposure Risk with Location Data: A Proposal for Cryptographic Preservation of Privacy,"It has applications in a variety of privacy sensitive settings, from measuring conversion rates for online advertising to securely testing sequenced human genomes .",1
2782,CONTAIN: Privacy-oriented Contact Tracing Protocols for Epidemics,"Viruses such as CoVID-19 and SARS-CoV2 have infected hundreds of people throughout the world, resulting in multiple fatalities.",1
2954,CONTAIN: Privacy-oriented Contact Tracing Protocols for Epidemics,such as CoVID-19 and SARS-CoV2 with 90% confidence interval versus contagiousness probability.,1
3002,Bluetooth Smartphone Apps: Are they the most private and effective solution for COVID-19 contact tracing?,Traditional contact tracing was used early-on during the SARS epidemic .,1
3053,Bluetooth Smartphone Apps: Are they the most private and effective solution for COVID-19 contact tracing?,"While some believed contact tracing was effective during the SARS outbreaks of the early 2000 is , we have already discussed Singapore is reliance on contact tracing during that period and how on review it was found to have failed .",1
3063,Bluetooth Smartphone Apps: Are they the most private and effective solution for COVID-19 contact tracing?,"Other authors using larger datasets provided this incubation period was 5 days, with 97% of patients showing symptoms at day 12 .",1
3087,Bluetooth Smartphone Apps: Are they the most private and effective solution for COVID-19 contact tracing?,This is human nature.,1
3197,Bluetooth Smartphone Apps: Are they the most private and effective solution for COVID-19 contact tracing?,"But rather, to ensure that even the most suggestible member of our community does not become complacent and assume that CTA operates, as claims like those provided with the Australian Government COVIDSafe app would seem to suggest, as an invisible shield making us and our families impenetrable or immune to the disease.",1
3433,A Toolkit for Analyzing and Visualizing Online Users via Reshare Cascade Modeling,We use the dataset of tweets concerning the novel coronavirus COVID-19 pandemic in 2020.,1
3451,A Toolkit for Analyzing and Visualizing Online Users via Reshare Cascade Modeling,"Botness has a mean of 0.27, and its distribution shows two maxima: a larger one around 0.17 showing the most participants in the discussions are likely human, and a smaller one towards high botness values, indicating that a non-trivial number of bots participated in the COVID-19 discussions.",1
3458,A Toolkit for Analyzing and Visualizing Online Users via Reshare Cascade Modeling,"We label the three users above as human, we remove the other rows, and we use trainClassifier to continue training the bot detection classifier.",1
3509,A Toolkit for Analyzing and Visualizing Online Users via Reshare Cascade Modeling,"Human annotated bot datasets are often noisy, as even humans struggle to detect bots.",1
3512,A Toolkit for Analyzing and Visualizing Online Users via Reshare Cascade Modeling,"Bot detectors are usually trained on human-labeled datasets, and they usually rely on NLP approaches , deep-learning approaches , feature-engineering and other methods .",1
3750,DECENTRALIZED IS NOT RISK-FREE: UNDERSTANDING PUBLIC PERCEPTIONS OF PRIVACY-UTILITY TRADE-OFFS IN COVID-19 CONTACT-TRACING APPS A PREPRINT,"However, manual contact tracing requires a large investment in human resources and does not always achieve precise tracing results .",1
3751,DECENTRALIZED IS NOT RISK-FREE: UNDERSTANDING PUBLIC PERCEPTIONS OF PRIVACY-UTILITY TRADE-OFFS IN COVID-19 CONTACT-TRACING APPS A PREPRINT,Digital contact-tracing apps can potentially alleviate the burden on human contact tracers and improve tracing precision.,1
3756,DECENTRALIZED IS NOT RISK-FREE: UNDERSTANDING PUBLIC PERCEPTIONS OF PRIVACY-UTILITY TRADE-OFFS IN COVID-19 CONTACT-TRACING APPS A PREPRINT,"suggested that if 60% of the population installed the app, the estimated number of coronavirus cases would go down.",1
3973,DECENTRALIZED IS NOT RISK-FREE: UNDERSTANDING PUBLIC PERCEPTIONS OF PRIVACY-UTILITY TRADE-OFFS IN COVID-19 CONTACT-TRACING APPS A PREPRINT,"Although there is no significant difference between the first two statements , the difference between the third and the fourth statement is significant under the same test This suggests that people may feel more comfortable if the app directly alerts them than real human beings contacting them.",1
4301,Joint Relational Dependency Learning for Sequential Recommendation,"This is mainly because the work implies that all vectors share the same weight, discarding an important fact that human naturally have different opinions on items.",1
4366,Joint Relational Dependency Learning for Sequential Recommendation,Extensive experiments on the benchmark dataset demonstrate the effectiveness of JRD-L.,1
4449,Differentially Private Health Tokens for Estimating COVID-19 Risk,It is useful to know the ratio of immune vs non-immune people that have accessed a service over a period of time -for example customers in a shop over a number of hours.,1
4859,Blockchain Technology for Empowering Patient-Centred Healthcare: A Pilot Study,"The major changes from the first iteration were the use of floating action buttons, making extensive use of native mobile features and incorporating labelled tabs for grouped items and efficient login credential persistence.",1
5063,"Information Consumption and Social Response in a Segregated Environment: the Case of Gab. 1, 1, Article","To provide further insights about the commenting behavior of users under questionable and reliable posts, we model the persistence of users commenting repeatedly under a post of the same category.",1
5075,"Information Consumption and Social Response in a Segregated Environment: the Case of Gab. 1, 1, Article","Finally, we consider comments from both categories and study whether the questionability of the information source in uences the distribution of the comments sentiment and the persistence in commenting of users.",1
5344,ScienceDirect ScienceDirect Closed Loop Feedback Mechanism Effect Pilot Investigation on Manual Assembly Time and Process Variation,"Similar to the motivation provided by gamification of fitness tracker metrics on consumers' efforts to understand and improve their health, a push towards gamification of real-time human feedback during manual manufacturing processes holds promise to increase the wearers understanding of the individual impact on final process quality through alerts to incorrect or incomplete tasks at the time of work and providing a readily available avenue towards daily improvements .",1
5345,ScienceDirect ScienceDirect Closed Loop Feedback Mechanism Effect Pilot Investigation on Manual Assembly Time and Process Variation,"Also, collected metrics of individual training effectiveness and level by comparing worker task success rates with simulation and situated learning can improve virtual modeling toward optimizing production planning through a deeper understanding of individualized workforce performance distributions and predicting the effects of process changes/variations due to human behavior .",1
5350,ScienceDirect ScienceDirect Closed Loop Feedback Mechanism Effect Pilot Investigation on Manual Assembly Time and Process Variation,"Similar to the motivation provided by gamification of fitness tracker metrics on consumers' efforts to understand and improve their health, a push towards gamification of real-time human feedback during manual manufacturing processes holds promise to increase the wearers understanding of the individual impact on final process quality through alerts to incorrect or incomplete tasks at the time of work and providing a readily available avenue towards daily improvements .",1
