,Title,Sentence,Useful
0,"TWIRLS, an automated topic-wise inference method based on massive literature, suggests a possible mechanism via ACE2 for the pathological changes in the human host after coronavirus infection",The sudden outbreak of the new coronavirus at the end of December 2019 poses a huge threat to human health worldwide.,1
1,"TWIRLS, an automated topic-wise inference method based on massive literature, suggests a possible mechanism via ACE2 for the pathological changes in the human host after coronavirus infection",The SARS-CoV-2 virus causes severe respiratory disease that can quickly spread from person to person and in some cases lead to death.,1
2,"TWIRLS, an automated topic-wise inference method based on massive literature, suggests a possible mechanism via ACE2 for the pathological changes in the human host after coronavirus infection",Researchers have found that the new SARS-CoV-2 and SARS coronaviruses invade human cells in target tissues in a similar manner via high-affinity binding to angiotensin-converting enzyme 2 .,1
3,"TWIRLS, an automated topic-wise inference method based on massive literature, suggests a possible mechanism via ACE2 for the pathological changes in the human host after coronavirus infection","In recent epidemiological investigations of the spread of the SARS-CoV-2 and a preliminary study of the clinical characteristics of this disease , researchers have found that patients infected with the new coronavirus have severe symptoms similar to those of the SARS infection.",1
4,"TWIRLS, an automated topic-wise inference method based on massive literature, suggests a possible mechanism via ACE2 for the pathological changes in the human host after coronavirus infection","The first batch of clinical data reports of SARS-CoV-2 infection cases in China revealed ""cytokine storms"" in critically ill patients .",1
5,"TWIRLS, an automated topic-wise inference method based on massive literature, suggests a possible mechanism via ACE2 for the pathological changes in the human host after coronavirus infection","However, the mechanism of the viral infection and pathological changes in the immune system is still lacking.",1
7,"TWIRLS, an automated topic-wise inference method based on massive literature, suggests a possible mechanism via ACE2 for the pathological changes in the human host after coronavirus infection","Here, we present an automated topic-wise inference method called TWIRLS for processing the massive biomedical literature to summarize coronavirus host-related entities.",1
8,"TWIRLS, an automated topic-wise inference method based on massive literature, suggests a possible mechanism via ACE2 for the pathological changes in the human host after coronavirus infection","TWIRLS is capable of collecting, classifying, and analyzing reported coronavirus studies to reveal these entities based on the distribution of specific genes in the text of the articles.",1
10,"TWIRLS, an automated topic-wise inference method based on massive literature, suggests a possible mechanism via ACE2 for the pathological changes in the human host after coronavirus infection","Based on the literature related to the coronavirus, TWIRLS revealed that the altered function of ACE2/AT2R in the host after coronavirus infection possibly leads to an imbalance in the Renin-Angiotensin System inducing a cytokine storm.",1
12,"TWIRLS, an automated topic-wise inference method based on massive literature, suggests a possible mechanism via ACE2 for the pathological changes in the human host after coronavirus infection","Therefore, TWIRLS can be used to guide human researchers by providing further potential therapeutic target information for the treatment of acute viral lung injury based on the regulation of RAS.",1
