,Title,Sentence,Useful
0,Markers of liver injury and clinical outcomes in COVID-19 patients: A systematic review and meta-analysis Letter to the Editor Markers of liver injury and clinical outcomes in COVID-19 patients: A systematic review and meta-analysis,"Since January 2020 when it was first isolated in China, coronavirus disease 2019 has spread throughout the world and caused substantial morbidity and mortality.",1
16,Markers of liver injury and clinical outcomes in COVID-19 patients: A systematic review and meta-analysis Letter to the Editor Markers of liver injury and clinical outcomes in COVID-19 patients: A systematic review and meta-analysis,The likely explanation for the worse outcomes observed in patients with baseline elevated markers of liver injury could be attributed to compromised immune status.,1
19,Markers of liver injury and clinical outcomes in COVID-19 patients: A systematic review and meta-analysis Letter to the Editor Markers of liver injury and clinical outcomes in COVID-19 patients: A systematic review and meta-analysis,Proposed explanations include drug-induced liver injury; direct injury to the liver due to COVID-19 hepatitis; COVID-19 induced myositis; binding of SARS CoV-2 directly to angiotensin-converting enzyme 2 positive rich cholangiocytes and causing liver damage; hepatic congestion due to high levels of positive end expiratory pressure during mechanical ventilation; and aggravation of liver injury by SARS CoV-2 in patients with pre-existing viral hepatitis.,1
32,"NIHR Health Protection Research Unit (HPRU) in Immunisation, London, UK 4","This was subsequently identified and designated as COVID-19, caused by the novel severe acute respiratory syndrome coronavirus 2 , a strain previously unseen in humans.",1
52,"NIHR Health Protection Research Unit (HPRU) in Immunisation, London, UK 4","• requiring admission to hospital and • have either clinical or radiological evidence of pneumonia or • acute respiratory distress syndrome or • influenza like illness , hoarseness, nasal discharge or congestion, shortness of breath, sore throat, wheezing, sneezing Imported cases were defined as cases with travel to countries with known COVID-19 circulation at the time or with contact with a confirmed case whilst abroad within a maximum incubation period of their onset of symptoms.",1
237,"NIHR Health Protection Research Unit (HPRU) in Immunisation, London, UK 4",It is important to note that the predictive values do not necessarily reflect the prevalence of COVID-19 in the population at any particular time.,1
255,Ethnicity and outcomes in patients hospitalised with COVID-19 infection in East London: an observational cohort study,"It is clear that ethnicity is a predictor of a positive SARS-CoV2 result, disease severity and mortality, regardless of age, sex, geographical location, deprivation, smoking status, BMI, co-morbidities and frailty.",1
259,Ethnicity and outcomes in patients hospitalised with COVID-19 infection in East London: an observational cohort study,The novel Severe Acute Respiratory Syndrome Coronavirus-2 which manifests as coronavirus disease 2019 has led to a global pandemic .,1
272,Ethnicity and outcomes in patients hospitalised with COVID-19 infection in East London: an observational cohort study,We considered all patients with confirmed SARS-CoV-2 infection and admitted to the five acute hospitals within Barts Health NHS Trust between 1 st January and 13 th May 2020.,1
275,Ethnicity and outcomes in patients hospitalised with COVID-19 infection in East London: an observational cohort study,"The first emergency admission encompassing the first positive SARS-CoV-2 test, or the first emergency admission within two weeks of positive outpatient testing was defined as the index admission, community diagnoses without an associated emergency hospital admission were excluded.",1
303,Ethnicity and outcomes in patients hospitalised with COVID-19 infection in East London: an observational cohort study,"A total of 1996 patients, aged 16 years and older, with a confirmed SARS-CoV-2 test result with an acute Barts Health admission on or before 13th May 2020 were included in this study .",1
375,Ethnicity and outcomes in patients hospitalised with COVID-19 infection in East London: an observational cohort study,"Importantly, SARS-CoV-2 testing has an appreciable false negative rate and suspected, but not proven, cases are an important group.",1
469,ai-corona: Radiologist-Assistant Deep Learning Framework for COVID-19 Diagnosis in Chest CT Scans,Nucleic acid was extracted from the samples with the QiaSymphony system and SARS-CoV-2 RNA was detected using primer and probe sequences for screening and conformation on the basis of the sequence described by .,1
636,Online COVID-19 diagnosis with chest CT images: Lesion-attention deep neural networks,The novel coronavirus disease 2019 is undergoing an unprecedented global outbreak.,1
641,Online COVID-19 diagnosis with chest CT images: Lesion-attention deep neural networks,The reverse-transcription polymerase chain reaction test is the current standard method for detecting the coronavirus for COVID-19 patients.,1
693,Online COVID-19 diagnosis with chest CT images: Lesion-attention deep neural networks,This lesion-attention mechanism drastically improves the diagnostic accuracy to the level of clinical standards by human experts.,1
768,"Title: Rapid screening of COVID-19 patients by White blood cells scattergrams, a study on 381 patients Revisions are marked in bold red","The novel coronavirus SARS-CoV-2, responsible for COVID-19 confronts the health community with major challenges.",1
805,"Title: Rapid screening of COVID-19 patients by White blood cells scattergrams, a study on 381 patients Revisions are marked in bold red","Based on this retrospective study, we conclude that WDF analysis can be implemented during the SARS-CoV-2 pandemic to quickly categorize symptomatic patients as either COVID-19 probable or improbable, depending on the presence of the plasmacytoid lymphocytes cluster on their scattergram.",1
810,Functional pathways in respiratory tract microbiome separate COVID-19 from community-acquired pneumonia patients,"An impressive number of scientific studies have rapidly been published on the genomics and molecular-level host interactions of the new coronavirus SARS-Cov-2 1 of reported bat origin, 2 responsible for the COVID-19 disease pandemic.",1
816,Functional pathways in respiratory tract microbiome separate COVID-19 from community-acquired pneumonia patients,"8 focused on the SARS-Cov-2 genomes and taxonomic profiling of the microbiomes, here we perform functional profiling to characterize active biological processes.",1
829,Functional pathways in respiratory tract microbiome separate COVID-19 from community-acquired pneumonia patients,Nearly identical results were also obtained when utilizing only the bacterial subset of the database for read matching; the separation is not merely due to COVID-19 sample reads matching SARS-CoV-2 protein domains .,1
830,Functional pathways in respiratory tract microbiome separate COVID-19 from community-acquired pneumonia patients,The sequencing data had varying total number of reads and human content per sample .,1
857,Functional pathways in respiratory tract microbiome separate COVID-19 from community-acquired pneumonia patients,"11 including Trim Galore 19 trimming and bowtie2 20 human read filtering, resulting in 40k to 32M input reads for microbial functional annotation per sample .",1
858,Functional pathways in respiratory tract microbiome separate COVID-19 from community-acquired pneumonia patients,Human reads were already filtered by Shen et al.,1
859,Functional pathways in respiratory tract microbiome separate COVID-19 from community-acquired pneumonia patients,"8 , still we removed additional reads that mapped to human with the bowtie 2 local alignment mode.",1
